year,mon,day,tmax (degF),tmin (degF),precip (in),snow (in),snowcover (in)
1897,1,1,-998,-998,-998,-998,-998
1897,1,2,-998,-998,-998,-998,-998
1897,1,3,-998,-998,-998,-998,-998
1897,1,4,-998,-998,-998,-998,-998
1897,1,5,-998,-998,-998,-998,-998
1897,1,6,-998,-998,-998,-998,-998
1897,1,7,-998,-998,-998,-998,-998
1897,1,8,-998,-998,-998,-998,-998
1897,1,9,-998,-998,-998,-998,-998
1897,1,10,-998,-998,-998,-998,-998
1897,1,11,-998,-998,-998,-998,-998
1897,1,12,-998,-998,-998,-998,-998
1897,1,13,-998,-998,-998,-998,-998
1897,1,14,-998,-998,-998,-998,-998
1897,1,15,-998,-998,-998,-998,-998
1897,1,16,-998,-998,-998,-998,-998
1897,1,17,-998,-998,-998,-998,-998
1897,1,18,-998,-998,-998,-998,-998
1897,1,19,-998,-998,-998,-998,-998
1897,1,20,-998,-998,-998,-998,-998
1897,1,21,-998,-998,-998,-998,-998
1897,1,22,-998,-998,-998,-998,-998
1897,1,23,-998,-998,-998,-998,-998
1897,1,24,-998,-998,-998,-998,-998
1897,1,25,-998,-998,-998,-998,-998
1897,1,26,-998,-998,-998,-998,-998
1897,1,27,-998,-998,-998,-998,-998
1897,1,28,-998,-998,-998,-998,-998
1897,1,29,-998,-998,-998,-998,-998
1897,1,30,-998,-998,-998,-998,-998
1897,1,31,-998,-998,-998,-998,-998
1897,2,1,-998,-998,-998,-998,-998
1897,2,2,-998,-998,-998,-998,-998
1897,2,3,-998,-998,-998,-998,-998
1897,2,4,-998,-998,-998,-998,-998
1897,2,5,-998,-998,-998,-998,-998
1897,2,6,-998,-998,-998,-998,-998
1897,2,7,-998,-998,-998,-998,-998
1897,2,8,-998,-998,-998,-998,-998
1897,2,9,-998,-998,-998,-998,-998
1897,2,10,-998,-998,-998,-998,-998
1897,2,11,-998,-998,-998,-998,-998
1897,2,12,-998,-998,-998,-998,-998
1897,2,13,-998,-998,-998,-998,-998
1897,2,14,-998,-998,-998,-998,-998
1897,2,15,-998,-998,-998,-998,-998
1897,2,16,-998,-998,-998,-998,-998
1897,2,17,-998,-998,-998,-998,-998
1897,2,18,-998,-998,-998,-998,-998
1897,2,19,-998,-998,-998,-998,-998
1897,2,20,-998,-998,-998,-998,-998
1897,2,21,-998,-998,-998,-998,-998
1897,2,22,-998,-998,-998,-998,-998
1897,2,23,-998,-998,-998,-998,-998
1897,2,24,-998,-998,-998,-998,-998
1897,2,25,-998,-998,-998,-998,-998
1897,2,26,-998,-998,-998,-998,-998
1897,2,27,-998,-998,-998,-998,-998
1897,2,28,-998,-998,-998,-998,-998
1897,2,29,-998,-998,-998,-998,-998
1897,3,1,-998,-998,-998,-998,-998
1897,3,2,-998,-998,-998,-998,-998
1897,3,3,-998,-998,-998,-998,-998
1897,3,4,-998,-998,-998,-998,-998
1897,3,5,-998,-998,-998,-998,-998
1897,3,6,-998,-998,-998,-998,-998
1897,3,7,-998,-998,-998,-998,-998
1897,3,8,-998,-998,-998,-998,-998
1897,3,9,-998,-998,-998,-998,-998
1897,3,10,-998,-998,-998,-998,-998
1897,3,11,-998,-998,-998,-998,-998
1897,3,12,-998,-998,-998,-998,-998
1897,3,13,-998,-998,-998,-998,-998
1897,3,14,-998,-998,-998,-998,-998
1897,3,15,-998,-998,-998,-998,-998
1897,3,16,-998,-998,-998,-998,-998
1897,3,17,-998,-998,-998,-998,-998
1897,3,18,-998,-998,-998,-998,-998
1897,3,19,-998,-998,-998,-998,-998
1897,3,20,-998,-998,-998,-998,-998
1897,3,21,-998,-998,-998,-998,-998
1897,3,22,-998,-998,-998,-998,-998
1897,3,23,-998,-998,-998,-998,-998
1897,3,24,-998,-998,-998,-998,-998
1897,3,25,-998,-998,-998,-998,-998
1897,3,26,-998,-998,-998,-998,-998
1897,3,27,-998,-998,-998,-998,-998
1897,3,28,-998,-998,-998,-998,-998
1897,3,29,-998,-998,-998,-998,-998
1897,3,30,-998,-998,-998,-998,-998
1897,3,31,-998,-998,-998,-998,-998
1897,4,1,-998,-998,-998,-998,-998
1897,4,2,-998,-998,-998,-998,-998
1897,4,3,-998,-998,-998,-998,-998
1897,4,4,-998,-998,-998,-998,-998
1897,4,5,-998,-998,-998,-998,-998
1897,4,6,-998,-998,-998,-998,-998
1897,4,7,-998,-998,-998,-998,-998
1897,4,8,-998,-998,-998,-998,-998
1897,4,9,-998,-998,-998,-998,-998
1897,4,10,-998,-998,-998,-998,-998
1897,4,11,-998,-998,-998,-998,-998
1897,4,12,-998,-998,-998,-998,-998
1897,4,13,-998,-998,-998,-998,-998
1897,4,14,-998,-998,-998,-998,-998
1897,4,15,-998,-998,-998,-998,-998
1897,4,16,-998,-998,-998,-998,-998
1897,4,17,-998,-998,-998,-998,-998
1897,4,18,-998,-998,-998,-998,-998
1897,4,19,-998,-998,-998,-998,-998
1897,4,20,-998,-998,-998,-998,-998
1897,4,21,-998,-998,-998,-998,-998
1897,4,22,-998,-998,-998,-998,-998
1897,4,23,-998,-998,-998,-998,-998
1897,4,24,-998,-998,-998,-998,-998
1897,4,25,-998,-998,-998,-998,-998
1897,4,26,-998,-998,-998,-998,-998
1897,4,27,-998,-998,-998,-998,-998
1897,4,28,-998,-998,-998,-998,-998
1897,4,29,-998,-998,-998,-998,-998
1897,4,30,-998,-998,-998,-998,-998
1897,5,1,71,49,0,-998,-998
1897,5,2,71,54,0.01,-998,-998
1897,5,3,67,48,0,-998,-998
1897,5,4,69,46,0,-998,-998
1897,5,5,68,51,0.03,-998,-998
1897,5,6,69,51,0,-998,-998
1897,5,7,68,50,0.07,-998,-998
1897,5,8,61,52,0,-998,-998
1897,5,9,68,45,0,-998,-998
1897,5,10,67,45,0,-998,-998
1897,5,11,56,42,0.17,-998,-998
1897,5,12,65,47,0,-998,-998
1897,5,13,69,45,0,-998,-998
1897,5,14,71,44,0,-998,-998
